,XETHZEUR_price,volume
2017-05-25 10:09:13.434000000,174.10002,0.10619000
2017-05-25 10:09:13.847900000,174.15000,0.46469300
2017-05-25 10:09:19.440000000,174.15000,12.33182400
2017-05-25 10:09:21.493800000,174.15000,0.02858947
2017-05-25 10:09:21.739700000,174.15000,0.25590000
2017-05-25 10:09:36.273900000,174.15000,2.52001700
2017-05-25 10:09:40.949400000,174.15000,8.14814881
2017-05-25 10:09:40.967700000,174.19000,6.64873019
2017-05-25 10:09:41.926700000,174.19000,2.18971500
2017-05-25 10:09:48.297500000,174.19000,8.61128652
2017-05-25 10:09:53.396300000,174.15000,5.00000000
2017-05-25 10:09:53.412800000,174.19000,0.37980000
2017-05-25 10:09:53.580100000,174.19000,4.65146900
2017-05-25 10:09:53.964500000,174.19000,4.65146800
2017-05-25 10:09:53.979400000,174.19000,2.67086200
2017-05-25 10:09:54.997300000,174.19000,7.54226300
2017-05-25 10:10:20.722400000,174.19000,6.00000000
2017-05-25 10:10:24.772500000,174.19000,2.85209079
2017-05-25 10:10:45.407300000,174.15001,0.10070955
2017-05-25 10:10:45.424700000,174.15000,1.14646116
2017-05-25 10:10:53.079500000,174.15002,0.09997243
2017-05-25 10:10:53.104400000,174.15001,2.48300000
2017-05-25 10:10:53.121700000,174.15000,8.85353884
2017-05-25 10:10:53.140500000,174.10002,2.76228620
2017-05-25 10:10:53.158200000,174.10000,1.00000000
2017-05-25 10:10:53.519700000,174.00013,0.20590000
2017-05-25 10:10:53.632300000,174.00011,0.00100000
2017-05-25 10:10:53.650800000,174.00000,34.87024252
2017-05-25 10:10:55.110200000,174.00000,7.98920919
2017-05-25 10:11:02.315700000,174.00000,0.62479000
2017-05-25 10:11:02.646200000,174.00000,0.12422800
2017-05-25 10:11:11.738600000,173.99999,1.38993334
2017-05-25 10:11:11.758800000,174.00000,5.15830266
2017-05-25 10:11:25.095000000,173.99999,1.38993334
2017-05-25 10:11:25.115500000,174.00000,46.97868066
2017-05-25 10:11:26.232300000,174.00000,2.66867400
2017-05-25 10:11:26.711400000,174.00000,44.85622594
2017-05-25 10:11:26.729900000,174.19000,38.56946906
2017-05-25 10:11:26.771800000,174.19000,36.63506400
2017-05-25 10:11:28.873800000,174.19000,177.70000100
2017-05-25 10:11:29.437200000,174.19000,0.20000000
2017-05-25 10:11:31.097800000,174.19000,2.30826900
2017-05-25 10:11:36.429200000,174.19000,22.79742300
2017-05-25 10:11:38.325400000,174.19000,5.75000000
2017-05-25 10:11:41.378100000,174.19000,2.87000000
2017-05-25 10:11:48.280900000,174.19000,12.25370796
2017-05-25 10:11:53.206200000,174.19000,2.85350000
2017-05-25 10:11:59.477800000,174.19000,0.66019863
2017-05-25 10:12:08.821100000,174.18999,1.22327570
2017-05-25 10:12:08.849600000,174.19000,0.14018530
2017-05-25 10:12:13.652000000,174.19000,0.01377000
2017-05-25 10:12:22.504600000,174.19000,1.50169059
2017-05-25 10:12:25.610800000,174.19000,2.00307338
2017-05-25 10:12:38.284000000,174.19000,0.18730000
2017-05-25 10:12:40.079000000,174.19000,2.85457419
2017-05-25 10:12:46.366500000,174.18999,0.13017575
2017-05-25 10:12:46.387000000,174.19000,10.85640025
2017-05-25 10:12:48.132399999,174.19000,1.54100000
2017-05-25 10:12:51.183600000,174.19000,2.50874414
2017-05-25 10:13:22.336200000,174.19000,3.00000000
2017-05-25 10:13:44.757600000,174.01002,0.00100000
2017-05-25 10:13:44.775200000,174.01001,0.24030000
2017-05-25 10:13:44.791000000,174.01000,0.33894603
2017-05-25 10:13:44.807300000,174.00001,0.46956466
2017-05-25 10:13:44.821500000,174.00000,18.88448825
2017-05-25 10:13:44.825300000,174.00000,6.00000000
2017-05-25 10:13:50.828500000,174.00000,0.86157000
